SRCreated_month,3-1-1 Call Center,AMPS,Correspondence,DOT,DPR,DPR -Public Tree Map,Department of Parks and Recreation - Public Web Site,FDNY,Park Inspection Program,Others
Jan,2591.0,162.0,96.0,,35.0,42.0,756.0,,13.0,833.0
Feb,3034.0,250.0,118.0,,45.0,57.0,774.0,2.0,31.0,878.0
Mar,4935.0,324.0,98.0,194.0,42.0,55.0,1522.0,,40.0,1813.0
Apr,5226.0,380.0,69.0,70.0,27.0,110.0,1742.0,1.0,10.0,1950.0
May,7594.0,408.0,93.0,1.0,38.0,109.0,2501.0,,33.0,2649.0
Jun,10369.0,466.0,88.0,1.0,31.0,141.0,2897.0,,55.0,3070.0
Jul,8924.0,500.0,36.0,1.0,27.0,234.0,2494.0,,25.0,2756.0
Aug,9338.0,535.0,67.0,7.0,28.0,217.0,1916.0,,60.0,2168.0
Sep,9080.0,449.0,46.0,1.0,8.0,153.0,2017.0,,48.0,2179.0
Oct,7020.0,411.0,52.0,308.0,28.0,113.0,3098.0,,42.0,3547.0
Nov,4194.0,215.0,44.0,,8.0,46.0,1610.0,2.0,50.0,1666.0
Dec,3711.0,205.0,74.0,265.0,12.0,68.0,1600.0,,18.0,1945.0
