Month,Block Pruning,Canopy Reduction,Hanging Limb,Limb Down,Pest & Disease Treatment,Pruning,Tree Down,Tree and Sidewalk Repair,Prune-Traffic Total,Stump Removal Total,Tree Planting Total,Rescue/Preservation Total,Tree Removal Total,Misc Total
January,78.0,11.0,199.0,236.0,0.0,199.0,107.0,0.0,9.0,17.0,18.0,3.0,618.0,2.0
February,107.0,8.0,300.0,294.0,0.0,236.0,139.0,0.0,3.0,18.0,15.0,3.0,608.0,14.0
March,127.0,1.0,314.0,471.0,0.0,366.0,250.0,6.0,1.0,54.0,3.0,13.0,851.0,10.0
April,111.0,2.0,304.0,239.0,0.0,370.0,189.0,10.0,8.0,30.0,1.0,17.0,816.0,6.0
May,105.0,16.0,270.0,413.0,4.0,473.0,158.0,1.0,35.0,41.0,0.0,6.0,905.0,11.0
June,68.0,23.0,335.0,815.0,13.0,829.0,130.0,0.0,99.0,47.0,26.0,0.0,1602.0,5.0
July,45.0,6.0,454.0,917.0,13.0,689.0,146.0,9.0,71.0,39.0,44.0,10.0,1452.0,3.0
August,74.0,14.0,422.0,952.0,14.0,921.0,202.0,22.0,63.0,83.0,63.0,8.0,1519.0,19.0
September,50.0,13.0,377.0,1030.0,1.0,652.0,260.0,20.0,38.0,27.0,41.0,6.0,1400.0,12.0
October,5.0,28.0,337.0,687.0,6.0,532.0,268.0,1.0,49.0,40.0,19.0,3.0,1405.0,11.0
November,26.0,4.0,249.0,327.0,1.0,430.0,153.0,18.0,7.0,30.0,11.0,1.0,930.0,12.0
December,16.0,3.0,324.0,534.0,3.0,398.0,397.0,6.0,4.0,42.0,69.0,1.0,891.0,15.0
