YearMonth,A,B,C,D
Jan,0.14713094654242276,1.5203531142717017,19.666503187837176,78.6660127513487
Feb,0.3834682573498083,2.641670217298679,19.0029825308905,77.97187899446102
Mar,0.7184672698243746,3.4858967535923364,17.189994678020224,78.60564129856307
Apr,0.3628666465074085,1.9352887813728454,13.788932567281522,83.91291200483822
May,0.7068136839129205,3.336160588068985,16.765620582414474,79.19140514560362
Jun,0.3212564697483491,2.8020703194717114,16.562555773692665,80.31411743708728
Jul,0.667990612023831,3.0510922549196606,14.94854666907384,81.33237046398267
Aug,0.6454736162659351,3.114410198483137,13.409714377924804,82.83040180732613
Sep,0.6869825612119077,3.0649991192531267,15.518759908402323,80.72925841113265
Oct,0.5906313645621182,4.215885947046844,17.14867617107943,78.0448065173116
Nov,0.2575991756826378,2.6790314270994333,15.095311695002575,81.96805770221536
Dec,0.575973669775096,2.6055951727921007,16.072408118486013,80.74602303894679
